id;name;state_id
592;Ifedore;2675
593;Ilaje;2675
594;Ile-Oluji-Okeigbo;2675
595;Irele;2675
596;Odigbo;2675
597;Okitipupa;2675
598;Ondo East;2675
599;Ondo West;2675
600;Ose;2675
601;Owo;2675
602;Aiyedade;2676
603;Aiyedire;2676
604;Atakunmosa East;2676
605;Atakunmosa West;2676
606;Boluwaduro;2676
607;Boripe;28
608;Ede North;2676
609;Ede South;2676
610;Egbedore;2676
611;Ejigbo;2676
612;Ife Central;2676
613;Ifedayo;28
614;Ife East;2676
615;Ifelodun;2676
616;Ife North;2676
617;Ife South;2676
618;Ila;2676
619;Ilesha East;2676
620;Ilesha West;2676
621;Irepodun;2676
622;Irewole;2676
623;Isokan;2676
624;Iwo;28
625;Obokun;2676
626;Odo-Otin;2676
627;Ola-Oluwa;2676
628;Olorunda;2676
629;Oriade;2676
630;Orolu;2676
631;Osogbo;2676
632;Afijio;29
633;Akinyele;29
634;Atiba;29
635;Atisbo;29
636;Egbeda;29
637;Ibadan North;29
638;Ibadan North East;29
639;Ibadan North West;29
640;Ibadan South East;29
641;Ibadan South West;29
642;Ibarapa Central;29
643;Ibarapa East;29
644;Ibarapa North;29
645;Ido;2677
646;Irepo;2677
647;Iseyin;2677
648;Itesiwaju;2677
649;Iwajowa;2677
650;Kajola;29
651;Lagelu;2677
652;Ogbomosho North;2677
653;Ogbomosho South;2677
654;Ogo Oluwa;2677
655;Olorunsogo;2677
656;Oluyole;2677
657;Ona-Ara;2677
658;Orelope;2677
659;Ori Ire;2677
660;Oyo East;2677
661;Oyo West;2677
662;Saki East;2677
663;Saki West;2677
664;Surulere;2677
665;Barkin Ladi;2678
666;Bassa;2678
667;Bokkos;2678
668;Jos East;2678
669;Jos North;2678
670;Jos South;2678
671;Kanam;2678
672;Kanke;2678
673;Langtang Norh;2678
674;Langtang South;2678
675;Mangu;2678
676;Mikang;2678
677;Pankshin;2678
678;Qua''an Pan;2678
679;Riyom;2678
680;Shendam;2678
681;Wase;2678
682;Abua/Odual;2679
683;Ahoada East;2679
684;Ahoada West;2679
685;Akuku Toru;2679
686;Andoni;2679
687;Asari-Toru;2679
688;Bonny;2679
689;Degema;2679
690;Eleme;2679
691;Emuoha;2679
692;Etche;2679
693;Gokana;2679
694;Ikwerre;2679
695;Khana;2679
696;Obio/Akpor;2679
697;Ogba/Egbema/Ndoni;2679
698;Ogu/Bolo;2679
699;Okrika;2679
700;Omumma;2679
701;Opobo/Nkoro;2679
702;Oyigbo;2679
703;Port-Harcourt;2679
704;Tai;2679
705;Binji;2680
706;Bodinga;2680
707;Dange Shuni;2680
708;Gada;2680
709;Goronyo;2680
710;Gudu;2680
711;Gwadabawa;2680
712;Illela;2680
713;Isa;2680
714;Kebbe;2680
715;Kware;2680
716;Rabah;2680
717;Sabon Birni;2680
718;Shagari;2680
719;Silame;2680
720;Sokoto North;2680
721;Sokoto South;2680
722;Tambuwal;2680
723;Tangaza;2680
724;Tureta;2680
725;Wamakko;2680
726;Wurno;2680
727;Yabo;2680
728;Ardo-Kola;2681
729;Bali;2681
730;Donga;2681
731;Gashaka;2681
732;Gassol;2681
733;Ibi;2681
734;Jalingo;2681
735;Karim-Lamido;2681
736;Kurmi;2681
737;Lau;2681
738;Sardauna;2681
739;Takum;2681
740;Ussa;2681
741;Wukari;2681
742;Yorro;2681
743;Zing;2681
744;Bade;2682
745;Bursari;2682
746;Damaturu;2682
747;Fika;2682
748;Fune;2682
749;Geidam;2682
750;Gujba;2682
751;Gulani;2682
752;Jakusko;2682
753;Karasuwa;2682
754;Machina;2682
755;Nangere;2682
756;Nguru;2682
757;Potiskum;2682
758;Tarmua;2682
759;Yunusari;2682
760;Yusufari;2682
761;Anka;2683
762;Bakura;2683
763;Birnin Magaji;2683
764;Bukkuyum;2683
765;Bungudu;2683
766;Gummi;2683
767;Gusau;2683
768;Kaura Namoda;2683
769;Maradun;2683
770;Maru;2683
771;Shinkafi;2683
772;Talata Mafara;2683
773;Tsafe;2683
774;Zurmi;2683

